"layer","level","class","id","metric","value","id_buffer"
1,"patch",3,1,"area",0.710269378442987,1
1,"patch",3,2,"area",2.30837547993971,1
1,"patch",3,1,"core",0,1
1,"patch",3,2,"core",0.177567344610747,1
1,"patch",3,1,"perim",476.745425884584,1
1,"patch",3,2,"perim",1370.64309941818,1
1,"patch",3,1,"shape",1.41421356237346,1
1,"patch",3,2,"shape",2.2553355540897,1
1,"patch",3,1,"frac",1.078160718392,1
1,"patch",3,2,"frac",1.16190069169522,1
1,"patch",3,1,"enn",107.433129898094,1
1,"patch",3,2,"enn",107.433129898094,1
1,"patch",3,1,"area",1.06540406766484,2
1,"patch",3,2,"area",2.84107751377291,2
1,"patch",3,3,"area",1.59810610149726,2
1,"patch",3,4,"area",0.0887836723054034,2
1,"patch",3,1,"core",0.0887836723054034,2
1,"patch",3,2,"core",0.799053050748631,2
1,"patch",3,3,"core",0.0887836723054034,2
1,"patch",3,4,"core",0,2
1,"patch",3,1,"perim",715.118138826918,2
1,"patch",3,2,"perim",1191.86356471153,2
1,"patch",3,3,"perim",1132.27038647595,2
1,"patch",3,4,"perim",119.186356471153,2
1,"patch",3,1,"shape",1.73205080756913,2
1,"patch",3,2,"shape",1.76776695296663,2
1,"patch",3,3,"shape",2.23917147375773,2
1,"patch",3,4,"shape",1.00000000000015,2
1,"patch",3,1,"frac",1.11846543877675,2
1,"patch",3,2,"frac",1.111115280439,2
1,"patch",3,3,"frac",1.16656527050764,2
1,"patch",3,4,"frac",1.00000000000004,2
1,"patch",3,1,"enn",208.576123824518,2
1,"patch",3,2,"enn",173.742477776256,2
1,"patch",3,3,"enn",94.2250881163952,2
1,"patch",3,4,"enn",94.2250881163952,2
1,"patch",3,1,"area",0.443918361526991,3
1,"patch",3,1,"core",0,3
1,"patch",3,1,"perim",297.965891177865,3
1,"patch",3,1,"shape",1.11803398875003,3
1,"patch",3,1,"frac",1.02657032062206,3
1,"patch",3,1,"enn",NA,3
1,"patch",3,1,"area",7.99053050748583,4
1,"patch",3,2,"area",1.68688977380256,4
1,"patch",3,1,"core",4.08404892604832,4
1,"patch",3,2,"core",0.266351016916194,4
1,"patch",3,1,"perim",2145.35441648063,4
1,"patch",3,2,"perim",893.897673533594,4
1,"patch",3,1,"shape",1.89736659610125,4
1,"patch",3,2,"shape",1.72061800402942,4
1,"patch",3,1,"frac",1.11347147796829,4
1,"patch",3,2,"frac",1.11151153469842,4
1,"patch",3,1,"enn",245.708968431472,4
1,"patch",3,2,"enn",245.708968431472,4
1,"patch",3,1,"area",0.799053050748408,5
1,"patch",3,2,"area",0.0887836723053787,5
1,"patch",3,3,"area",10.2989059874239,5
1,"patch",3,4,"area",0.0887836723053787,5
1,"patch",3,5,"area",0.266351016916136,5
1,"patch",3,1,"core",0,5
1,"patch",3,2,"core",0,5
1,"patch",3,3,"core",5.94850604446037,5
1,"patch",3,4,"core",0,5
1,"patch",3,5,"core",0,5
1,"patch",3,1,"perim",715.118138826918,5
1,"patch",3,2,"perim",119.186356471153,5
1,"patch",3,3,"perim",2562.50666412979,5
1,"patch",3,4,"perim",119.186356471153,5
1,"patch",3,5,"perim",238.372712942306,5
1,"patch",3,1,"shape",2.00000000000057,5
1,"patch",3,2,"shape",1.00000000000029,5
1,"patch",3,3,"shape",1.99622488540388,5
1,"patch",3,4,"shape",1.00000000000029,5
1,"patch",3,5,"shape",1.15470053837958,5
1,"patch",3,1,"frac",1.15427247307509,5
1,"patch",3,2,"frac",1.00000000000008,5
1,"patch",3,3,"frac",1.11977736940871,5
1,"patch",3,4,"frac",1.00000000000008,5
1,"patch",3,5,"frac",1.03647362466573,5
1,"patch",3,1,"enn",327.762480295671,5
1,"patch",3,2,"enn",59.5931782355765,5
1,"patch",3,3,"enn",59.5931782355765,5
1,"patch",3,4,"enn",59.5931782355765,5
1,"patch",3,5,"enn",66.6271987649973,5
1,"patch",3,1,"area",1.59810610149672,6
1,"patch",3,2,"area",1.59810610149672,6
1,"patch",3,1,"core",0.177567344610747,6
1,"patch",3,2,"core",0.177567344610747,6
1,"patch",3,1,"perim",1072.67720824031,6
1,"patch",3,2,"perim",893.897673533594,6
1,"patch",3,1,"shape",2.12132034356019,6
1,"patch",3,2,"shape",1.76776695296682,6
1,"patch",3,1,"frac",1.1553933871151,6
1,"patch",3,2,"frac",1.11772037332602,6
1,"patch",3,1,"enn",89.3897673533595,6
1,"patch",3,2,"enn",89.3897673533595,6
1,"patch",3,1,"area",1.15418773996985,7
1,"patch",3,1,"core",0.177567344610747,7
1,"patch",3,1,"perim",595.93178235573,7
1,"patch",3,1,"shape",1.38675049056343,7
1,"patch",3,1,"frac",1.06991071616706,7
1,"patch",3,1,"enn",NA,7
1,"patch",3,1,"area",2.21959180763447,8
1,"patch",3,1,"core",0.0887836723053787,8
1,"patch",3,1,"perim",1311.04992118268,8
1,"patch",3,1,"shape",2.20000000000063,8
1,"patch",3,1,"frac",1.15757071491109,8
1,"patch",3,1,"enn",NA,8
1,"patch",3,1,"area",3.28499587529973,9
1,"patch",3,1,"core",0.97662039535938,9
1,"patch",3,1,"perim",1609.01581236047,9
1,"patch",3,1,"shape",2.21938632862259,9
1,"patch",3,1,"frac",1.15331793935033,9
1,"patch",3,1,"enn",NA,9
1,"patch",3,1,"area",0.0887836723054034,10
1,"patch",3,2,"area",0.355134689221614,10
1,"patch",3,1,"core",0,10
1,"patch",3,2,"core",0,10
1,"patch",3,1,"perim",119.186356471153,10
1,"patch",3,2,"perim",417.152247649035,10
1,"patch",3,1,"shape",1.00000000000015,10
