"NM_MUNICIP","Percentual_Floresta"
"SAO SEBASTIAO DO UMBUZEIRO",55.43
"ZABELE",41.84
"PRATA",38.03
"ALCANTIL",36.5
"OURO VELHO",35.71
"MONTEIRO",34.27
"BARRA DE SANTANA",33.05
"RIACHO DE SANTO ANTONIO",30.39
"AMPARO",28.03
"SAO JOAO DO TIGRE",26.78
"BOQUEIRAO",20.75
"SUME",20.73
"SAO JOSE DOS CORDEIROS",19.1
"CATURITE",17.38
"ASSUNCAO",14.06
"BARRA DE SAO MIGUEL",12.83
"CAMALAU",11.92
"CABACEIRAS",8.52
"TAPEROA",7.07
"LIVRAMENTO",6.25
"SAO JOAO DO CARIRI",6.06
"SERRA BRANCA",4.81
"COXIXOLA",4.56
"SAO DOMINGOS DO CARIRI",4.5
"CARAUBAS",2.63
"CONGO",1.99
"GURJAO",1.83
"PARARI",1.53
"SANTO ANDRE",1.07
